account_id,balance,reward
account_rdx16ympypu5flyryrp360xpkj7svh75yqt9twg3hmkkxdpk79r97t6ln9,3000000,1819.4400080615374
account_rdx16y0tuf9vyc8vj2lyt9s596u4vjn0e0g4nv0y44vhkacv7w0qthuh3z,1000000,606.480002687179
account_rdx16y0rueqqkyvkhc0cyr2x7cdktdkpy4dzhmzxja5xtwnw76fu3pfjpa,1000000,606.480002687179
account_rdx169h7r09xppst65k9f705r7npr4285f99x4assqt5vpyc4v95p30mcm,500000,303.2400013435895
account_rdx16x0s44zry5hn9hacquzxjwjfy5dvevklrmdu48hcjvylun3g3mm58q,500000,303.2400013435895
account_rdx1693n3ypcpmjj0s4mm0ukh4ymj3t5rtede00zltnfdc9fy9cpha5pxk,220000,133.42560059117935
account_rdx168g9kkamqznzyu9ztrya2n08fz58ctzl0xck6w06n788qj4yh5u5em,200000,121.29600053743577
account_rdx169vwxkklyurz0wxulgpx4v0zxv3ezzajlv2ynslcccs2vamwatewpy,106000,64.28688028484098
account_rdx168ah2uknjwughe3kj8ecajwumuk3faffy8tuh5amjr927qz7003q89,100000,60.64800026871789
account_rdx16ymtkrvgkejdqvujzen00zp0dvcj3c620jadqyxfpmqvupl9hx7x3a,100000,60.64800026871789
account_rdx168uvufanql3g24pfrxfj80vlmyj9thmmw7uf7dq7afywazhn2hm0fj,78000,47.305440209599965
account_rdx12yqn289awaxal9gu8grepweqym7jeqql7jc7p8cc42tlm5hufrmmm6,51676,31.34046061886266
account_rdx16872qlxchfr0wwyqum5ym3yuc4e8ss873su95y6jg2ekczmgpz8yf9,50000,30.324000134358943
account_rdx12xjv64k0y556vgn3d42g8vknq8fhwvkpdy23uh6wzqkcpj89t3ng3r,50000,30.324000134358943
account_rdx168raudh2avum7pdktvtta894f4h93kqkpkhslwzacw7tp0rf9s3nx2,45000,27.29160012092305
account_rdx16xmm5m3d0h565qwqr4dje7pqk3ce4qqa2hc0atme0ednq5u7rx8fya,41000,24.86568011017434
account_rdx128nz3wcqztgpumsh9k3hq4ht48cz0j6zaqw9lxpzkj9lu6j6ec6jy2,40000,24.259200107487164
validator_rdx1sdz3y8g574nuwnp4tcql7aysln4z2zml4g5x6cetvqn40jc9jvstv2,31983.07512558896,19.39709548811144
account_rdx16yjl64ck45czwry9lmpyt5emnua68x6l9cynlmqlhpgkaa5jz8tzd4,30000,18.19440008061537
account_rdx168hsmzzmarlmzvgarvn3nmwm5c66zc09eu3rht6k3nfcqch6pupq86,30000,18.19440008061537
account_rdx16ygc46zgw8vvzfg7306d7vrddfxemm8vtd4s45ug4c2yjcfyjagl4n,28000,16.98144007524101
account_rdx16830urlwv9vtw224tdupafydlt9r66742uk6sz40qr6rr09tw5cjyn,25000,15.162000067179472
account_rdx16ysrx8k5nlece3592drtu8n7pf3k8c7jew90lu9hxsm09c8ee69nyd,24950,15.131676067045115
account_rdx1686glfx86e308rrmkrp6h644ncqay3w80dhtul0yffduk0qp8sts5k,20000,12.129600053743582
account_rdx168un4nfwc6yvh4wmnt7uhaq9ccnn5vydxdp0t2phcl86p9dnxcmuyu,20000,12.129600053743582
account_rdx128hg4f0raarsfagzxh7m4gmm8vanj7ju7z8lu255dugnnfaefau2t7,20000,12.129600053743582
account_rdx16xsmh8ykr62hjtymekgynlgjrtl892lwex7x2k2hvc9755x9hur623,15044.359083889623,9.124102937624263
account_rdx12yr634z7xtpjvkk3jzrw94k9zhgq5glwz55wd6nn7lhgkzffwnum0r,14900,9.036552040038966
account_rdx16y0ypr2pmdhf05xsq0vhgqehg5cj0902jg4kpa0nx4qp85tfm2spg9,12000,7.277760032246148
account_rdx16889a59pc98nneajmwra3mj78k48nrnzsg03gg6q20n7k7r8xnz6tv,11000,6.671280029558969
account_rdx168lx667y0fq8a6rtra06tjandyj2xmmnavljyl4r33gcwrp900m7sh,10000,6.064800026871791
account_rdx16xg9gv69whvck65j8qs43rq3xrmcy6cxmauteflmg9g2tlscdvm5sx,9000,5.458320024184611
account_rdx16xase0xp63kngcyz2nu5r4erddmlruae0z3e90c9p0cve6dkx34au9,8000,4.851840021497432
account_rdx16yz8pa3mwdkk5sm44vry7u0u4kklcnc3rp9jxs8wah8zhg05cn085z,6000,3.638880016123074
account_rdx169dhvme202pqpr77h53fekv8njql4m6u4lpl0g5s6gju490zqhwap9,6000,3.638880016123074
account_rdx168hthlun820pm4506dgvmmgn58fzj3cp6g35lmja5dx9kpk3xhx72f,5000,3.0324000134358955
account_rdx169a3tc7c0w2jz64aqc6j3fj3aw5y9tgdknv5v79ce6janx9jcenrpn,5000,3.0324000134358955
account_rdx16xahafrnrdjr2659emql8htqgm9yx3c93w99kj0ahsuq49ervxw3ua,5000,3.0324000134358955
account_rdx16yc5g4k0xc9vsuymslwqrzc3cvu32a6vdyv00v8e5dvwu2tpj5dc96,5000,3.0324000134358955
account_rdx168zg3a2ftml8v44c063nrpku6rug58yfxsu26pkhkc7ujgm3x6thau,5000,3.0324000134358955
account_rdx16xj28wd4hrvm5c58rx6us622g8e972y43pa2hvtqlhqefg24xqucsf,4500,2.7291600120923056
account_rdx16yygmg35tg8e2jm9sq7807vmascac4ysz4t4tpt38y3p8a0s30h4d0,4200,2.5472160112861517
account_rdx16xwfhgtndp3vv9pang5t5c6aeng8yzllr5qmhfhh0m6raf2l3qm6ac,4000,2.425920010748716
account_rdx16xmyv9qqdtfjhplam265lc62fucfy93x3xw8sddkn6hr6s7tcq7uxd,4000,2.425920010748716
account_rdx168zguu0w84a8p5aydc6muwvpz9cd25gr60h59lwaneht3mr6wlepan,3000,1.819440008061537
account_rdx16xgkv0kx22l6gjyx7hwklavcza8mcqgzad3uwyddyt9fujtandtz06,3000,1.819440008061537
account_rdx1694ullvfs94thnzrl6dplw3mxw5dyalsdv978t74ycp6zwayecenw5,2500,1.5162000067179477
account_rdx16xdcqs2dexdhd33mw79jklqaqn02n9m0p6p97u88qn52chupsqd583,2000,1.212960005374358
account_rdx16xn8kqsac9fe6wyux8xk7w4m9647mwdr96966df726f2umd42ewgye,2000,1.212960005374358
account_rdx12yd7td4jcj9w7hzqteeqg9wd4yhzh467anmv4s5nz4dajym87tjq9d,2000,1.212960005374358
account_rdx169fm8vyar8eyx9m6ykncuncxxhlxjuex40k6m94ncx75dg6dv363sh,1000,0.606480002687179
account_rdx16y93d5sc54sh3f6ph5czng422ge8ak7llfrgv04tcv0lr6q3ncdkrj,1000,0.606480002687179
account_rdx16x2a4jc7cxjc7tfx9f74esqu65argp64k3ydx7jqc9tt475t8httnt,1000,0.606480002687179
account_rdx169c59m6cgjwkpvjfh6mnpwvprcsflzvggnyhqx5p0cxpgdrfrspjvy,1000,0.606480002687179
account_rdx168srcupcn8t02stzfkdtc2hcgp7ky5f377n0tdreurw5g9k3527q64,1000,0.606480002687179
account_rdx168qqt056pcvn5fjy9kdwejnp9fyw35d9t7urgfklpc8awfmenns88k,1000,0.606480002687179
account_rdx12xdu9k9ynah07uyvapszxqnc4t6mm0zlcjnqqhxj64elrjwfgd7y3q,975,0.5913180026199994
account_rdx16yr77v5u8tld2u20zzfqs59zvuqzswcgrnutv5qwf7jhmk7kr2jhe5,500,0.3032400013435895
account_rdx12ya8phel2e20df6jsd9uyrhfus4efs75dj02v95sl66xeakw4pzvxt,428,0.25957344115011266
account_rdx169ue6f7nf989kvpm9am75n8jjsp3x92ecsdxq47slqddrgyzgthfzc,2,0.001212960005374358